Source,Target,Type,Id,Label,Weight,7,8,9,10,11,12,13,14,15,16,17,18,19,20
30,57,Directed,317,,1,2025-02-13,"<[2025-02-13, 2025-02-13]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3li2affmhac2m,0,0,0,0,0,0,0,0,habéis probado a no ser tan frikis,quoted,108
30,58,Directed,318,,4,2024-12-25,"<[2024-12-25, 2024-12-25]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3le64vgq4u22w,0,0,0,0,0,0,0,0,pues anda que tú!,replied_to,188
30,59,Directed,322,,1,2025-02-11,"<[2025-02-11, 2025-02-11]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lhvkmtksys22,0,0,0,0,0,0,0,0,dios que guay lo del lago y que guay los pancakes gracias por tanto era justo lo que queria <3,replied_to,115
30,60,Directed,323,,1,2025-02-10,"<[2025-02-10, 2025-02-10]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lhtnrywzts2x,0,0,0,0,0,0,0,0,hay que celebrar las pequeñas victorias,replied_to,116
30,26,Directed,324,,1,2025-02-08,"<[2025-02-08, 2025-02-08]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lhnspou6qk2a,0,0,0,0,0,0,0,0,Ufff genial de cabeza,replied_to,120
30,61,Directed,325,,1,2025-02-08,"<[2025-02-08, 2025-02-08]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lhnrtrlbx22s,0,0,0,0,0,0,0,0,bebéeees cuánto dura aprox?,replied_to,121
30,62,Directed,326,,1,2025-02-08,"<[2025-02-08, 2025-02-08]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lhnr5e272s2h,0,0,0,0,0,0,0,0,Bua me flipa bastante la verdad,replied_to,122
30,63,Directed,327,,3,2024-11-16,"<[2024-11-16, 2024-11-16]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lb3pajcz2c2j,0,0,0,0,0,0,0,0,Ay pues tengo muchas ganas de veros a todas 🥲🥲🥲🥲 ojalá pronto,replied_to,367
30,64,Directed,330,,1,2025-01-30,"<[2025-01-30, 2025-01-30]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lgxa62ck3k2q,0,0,0,0,0,0,0,0,uf a mí su queso cremoso y su camembert me flipan,replied_to,127
30,65,Directed,331,,2,2025-01-07,"<[2025-01-07, 2025-01-07]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lf5vb64qxs23,0,0,0,0,0,0,0,0,Qué vergüenza de verdad,replied_to,162
30,66,Directed,333,,3,2024-11-27,"<[2024-11-27, 2024-11-27]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lbxe5e4gzk2c,0,0,0,0,0,0,0,0,Dnfndbdbdbbd la ilusión que me hace formar parte de esta trama,replied_to,301
30,67,Directed,336,,1,2025-01-24,"<[2025-01-24, 2025-01-24]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lgir7h4ges2g,0,0,0,0,0,0,0,0,"hola albanta bienvenida a bluesky <3 te había dejado un dm en la otra app demoníaca, si me sigues te cuento por aquí!",replied_to,133
30,68,Directed,337,,1,2025-01-24,"<[2025-01-24, 2025-01-24]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lgiq33yq422g,0,0,0,0,0,0,0,0,é un honor estar entre os teus seis primeros seguidos coa aemet e mil contas do bng <3,replied_to,134
